#zeit : 	zahl d. Durchgänge :	drehung in grad : error fehlt noch
	
		
22.48	59	590
22.5	60	600
22.52	61	610
22.54	61	610
22.56	62	620
22.58	62	620
22.6	63	630
22.62	63	630
22.64	64	640
22.66	64	640
22.68	65	650
22.7	66	660
22.72	66	660
22.74	67	670
22.76	67	670
22.78	68	680
22.8	68	680
22.82	69	690
22.84	69	690
22.86	70	700
22.88	70	700
22.9	71	710
22.92	72	720
22.94	72	720
22.96	72	720
22.98	73	730
23	73	730
23.02	74	740
23.04	74	740
23.06	74	740
23.08	75	750
23.1	75	750
23.12	76	760
23.14	76	760
23.16	77	770
23.18	77	770
23.2	78	780
23.22	78	780
23.24	78	780
23.26	79	790
23.28	79	790
23.3	80	800
23.32	80	800
23.34	81	810
23.36	81	810
23.38	82	820
23.4	82	820
23.42	83	830
23.44	83	830
23.46	84	840
23.48	84	840
23.5	85	850
23.52	85	850
23.54	85	850
23.56	86	860
23.58	86	860
23.6	87	870
23.62	87	870
23.64	87	870
23.66	88	880
23.68	88	880
23.7	88	880
23.72	89	890
23.74	89	890
23.76	90	900
23.78	90	900
23.8	90	900
23.82	90	900
23.84	91	910
23.86	91	910
23.88	91	910
23.9	91	910
23.92	91	910
23.94	92	920
23.96	92	920
23.98	92	920
24	92	920
24.02	92	920
24.04	92	920
24.06	92	920
24.08	92	920
24.1	93	930
24.12	93	930
24.14	93	930
24.16	93	930
24.18	93	930
24.2	93	930
24.22	93	930
24.24	93	930
24.26	93	930
24.28	93	930
24.3	94	940
24.32	94	940
24.34	94	940
24.36	94	940
24.38	94	940
24.4	94	940
24.42	94	940
24.44	94	940
24.46	94	940
24.48	95	950
24.5	95	950
24.52	95	950
24.54	95	950
24.56	95	950
24.58	95	950
24.6	95	950
24.62	96	960
24.64	96	960
24.66	96	960
24.68	97	970
24.7	97	970
24.72	97	970
24.74	97	970
24.76	97	970
24.78	98	980
24.8	98	980
24.82	98	980
24.84	98	980
24.86	99	990
24.88	99	990
24.9	99	990
24.92	99	990
24.94	100	1000
24.96	100	1000
24.98	100	1000
25	101	1010
25.02	101	1010
25.04	101	1010
25.06	101	1010
25.08	102	1020
25.1	102	1020
25.12	102	1020
25.14	102	1020
25.16	103	1030
25.18	103	1030
25.2	103	1030
25.22	103	1030
25.24	104	1040
25.26	104	1040
25.28	104	1040
25.3	104	1040
25.32	105	1050
25.34	105	1050
25.36	105	1050
25.38	105	1050
25.4	105	1050
25.42	106	1060
25.44	106	1060
25.46	106	1060
25.48	107	1070
25.5	107	1070
25.52	107	1070
25.54	107	1070
25.56	107	1070
25.58	108	1080
25.6	108	1080
25.62	108	1080
25.64	108	1080
25.66	109	1090
25.68	109	1090
25.7	109	1090
25.72	110	1100
25.74	110	1100
25.76	110	1100
25.78	111	1110
25.8	111	1110
25.82	111	1110
25.84	112	1120
25.86	112	1120
25.88	112	1120
25.9	113	1130
25.92	113	1130
25.94	114	1140
25.96	114	1140
25.98	115	1150
26	115	1150
26.02	115	1150
26.04	116	1160
26.06	116	1160
26.08	117	1170
26.1	117	1170
26.12	118	1180
26.14	118	1180
26.16	119	1190
26.18	119	1190
26.2	120	1200
26.22	120	1200
26.24	121	1210
26.26	121	1210
26.28	122	1220
26.3	122	1220
26.32	122	1220
26.34	123	1230
26.36	123	1230
26.38	124	1240
26.4	124	1240
26.42	125	1250
26.44	125	1250
26.46	126	1260
26.48	126	1260
26.5	126	1260
26.52	127	1270
26.54	127	1270
26.56	128	1280
26.58	128	1280
26.6	129	1290
26.62	129	1290
26.64	130	1300
26.66	130	1300
26.68	130	1300
26.7	131	1310
26.72	131	1310
26.74	132	1320
26.76	132	1320
26.78	133	1330
26.8	133	1330
26.82	134	1340
26.84	134	1340
26.86	135	1350
26.88	135	1350
26.9	136	1360
26.92	136	1360
26.94	137	1370
26.96	137	1370
26.98	138	1380
27	138	1380
27.02	139	1390
27.04	139	1390
27.06	140	1400
27.08	140	1400
27.1	140	1400
27.12	141	1410
27.14	141	1410
27.16	142	1420
27.18	142	1420
27.2	142	1420
27.22	143	1430
27.24	143	1430
27.26	143	1430
27.28	144	1440
27.3	144	1440
27.32	144	1440
27.34	145	1450
27.36	145	1450
27.38	145	1450
27.4	145	1450
27.42	146	1460
27.44	146	1460
27.46	146	1460
27.48	146	1460
27.5	146	1460
27.52	147	1470
27.54	147	1470
27.56	147	1470
27.58	147	1470
27.6	147	1470
27.62	148	1480
27.64	148	1480
27.66	148	1480
27.68	148	1480
27.7	148	1480
27.72	149	1490
27.74	149	1490
27.76	149	1490
27.78	150	1500
27.8	150	1500
27.82	150	1500
27.84	150	1500
27.86	150	1500
27.88	151	1510
27.9	151	1510
27.92	151	1510
27.94	151	1510
27.96	152	1520
27.98	152	1520
28	152	1520
28.02	152	1520
28.04	153	1530
28.06	153	1530
28.08	153	1530
28.1	153	1530
28.12	154	1540
28.14	154	1540
28.16	154	1540
28.18	154	1540
28.2	154	1540
28.22	155	1550
28.24	155	1550
28.26	155	1550
28.28	156	1560
28.3	156	1560
28.325	156	1560
28.344	156	1560
28.36	157	1570
28.38	157	1570
28.4	157	1570
28.42	157	1570
28.44	157	1570
28.46	157	1570
28.48	157	1570
28.5	158	1580
28.52	158	1580
28.54	158	1580
28.56	158	1580
28.58	158	1580
28.6	158	1580
28.62	159	1590
28.64	159	1590
28.66	159	1590
28.68	159	1590
28.7	159	1590
28.72	159	1590
28.74	159	1590
28.76	159	1590
28.78	159	1590
28.8	160	1600
28.82	160	1600
28.84	160	1600
28.86	160	1600
28.88	160	1600
28.9	160	1600
28.92	161	1610
28.94	161	1610
28.96	161	1610
28.98	161	1610
29	161	1610
29.02	161	1610
29.04	161	1610
29.06	162	1620
29.08	162	1620
29.1	162	1620
29.12	162	1620
29.14	162	1620
29.16	163	1630
29.18	163	1630
29.2	163	1630
29.22	164	1640
29.24	164	1640
29.26	164	1640
29.28	164	1640
29.3	165	1650
29.32	165	1650
29.34	165	1650
29.36	166	1660
29.38	166	1660
29.4	166	1660
29.42	167	1670
29.44	167	1670
29.46	168	1680
29.48	168	1680
29.5	169	1690
29.52	169	1690
29.54	169	1690
29.56	170	1700
29.58	170	1700
29.6	170	1700
29.62	171	1710
29.64	171	1710
29.66	172	1720
29.68	172	1720
29.7	173	1730
29.72	173	1730
29.74	173	1730
29.76	174	1740
29.78	174	1740
29.8	175	1750
29.82	175	1750
29.84	175	1750
29.86	176	1760
29.88	176	1760
29.9	177	1770
29.92	177	1770
29.94	178	1780
29.96	178	1780
29.98	178	1780
30	179	1790
30.02	179	1790
30.04	179	1790
30.06	180	1800
30.08	180	1800
30.1	181	1810
30.12	181	1810
30.14	181	1810
30.16	182	1820
30.18	182	1820
30.2	183	1830
30.22	183	1830
30.24	184	1840
30.26	184	1840
30.28	185	1850
30.3	185	1850
30.32	186	1860
30.34	186	1860
30.36	187	1870
30.38	187	1870
30.4	188	1880
30.42	188	1880
30.44	189	1890
30.46	189	1890
30.48	190	1900
30.5	190	1900
30.52	190	1900
30.54	191	1910
30.56	192	1920
30.58	192	1920
30.6	193	1930
30.62	193	1930
30.64	193	1930
30.66	194	1940
30.68	194	1940
30.7	195	1950
30.72	195	1950
30.74	196	1960
30.76	196	1960
30.78	197	1970
30.8	197	1970
30.82	197	1970
30.84	198	1980
30.86	198	1980
30.88	199	1990
30.9	199	1990
30.92	199	1990
30.94	200	2000
30.962	200	2000
30.98	200	2000
31	201	2010
31.02	201	2010
31.04	202	2020
31.06	202	2020
31.08	203	2030
31.105	203	2030
31.122	203	2030
31.14	204	2040
31.16	204	2040
31.18	205	2050
31.2	205	2050
31.22	205	2050
31.24	206	2060
31.26	206	2060
31.28	206	2060
31.3	207	2070
31.32	207	2070
31.34	208	2080
31.36	208	2080
31.38	209	2090
31.4	209	2090
31.42	209	2090
31.44	210	2100
31.46	210	2100
31.48	210	2100
31.5	211	2110
31.52	211	2110
31.54	211	2110
31.56	212	2120
31.58	212	2120
31.6	212	2120
31.62	213	2130
31.64	213	2130
31.66	213	2130
31.68	213	2130
31.7	214	2140
31.72	214	2140
31.74	214	2140
31.76	214	2140
31.78	214	2140
31.8	215	2150
31.82	215	2150
31.84	215	2150
31.86	215	2150
31.88	215	2150
31.9	215	2150
31.92	215	2150
31.94	216	2160
31.96	216	2160
31.98	216	2160
32	216	2160
32.02	216	2160
32.04	216	2160
32.06	216	2160
32.08	216	2160
32.1	216	2160
32.12	216	2160
32.14	216	2160
32.16	216	2160
32.18	217	2170
32.2	217	2170
32.22	217	2170
32.24	217	2170
32.26	217	2170
32.28	217	2170
32.3	217	2170
32.32	217	2170
32.34	218	2180
32.36	218	2180
32.38	218	2180
32.4	218	2180
32.42	218	2180
32.44	218	2180
32.46	218	2180
32.48	219	2190
32.5	219	2190
32.52	219	2190
32.54	219	2190
32.56	219	2190
32.58	220	2200
32.6	220	2200
32.62	220	2200
32.64	220	2200
32.66	221	2210
32.68	221	2210
32.7	221	2210
32.72	221	2210
32.74	222	2220
32.76	222	2220
32.78	222	2220
32.8	223	2230
32.82	223	2230
32.84	223	2230
32.86	223	2230
32.88	224	2240
32.9	224	2240
32.92	224	2240
32.94	225	2250
32.96	225	2250
32.98	225	2250
33	226	2260
33.02	226	2260
33.04	226	2260
33.06	226	2260
33.08	227	2270
33.1	227	2270
33.12	227	2270
33.14	227	2270
33.16	228	2280
33.18	228	2280
33.2	228	2280
33.22	229	2290
33.24	229	2290
33.26	229	2290
33.28	229	2290
33.3	230	2300
33.32	230	2300
33.34	230	2300
33.36	230	2300
33.38	231	2310
33.4	231	2310
33.42	231	2310
33.44	231	2310
33.46	232	2320
33.48	232	2320
33.5	232	2320
33.52	233	2330
33.54	233	2330
33.56	233	2330
33.58	234	2340
33.6	234	2340
33.62	234	2340
33.64	235	2350
33.66	235	2350
33.68	235	2350
33.7	236	2360
33.72	236	2360
33.74	236	2360
33.76	237	2370
33.78	237	2370
33.8	238	2380
33.82	238	2380
33.84	239	2390
33.86	239	2390
33.88	239	2390
33.9	240	2400
33.92	241	2410
33.94	241	2410
33.96	241	2410
33.98	242	2420
34	242	2420
34.02	243	2430
34.04	243	2430
34.06	244	2440
34.08	244	2440
34.1	244	2440
34.12	245	2450
34.14	245	2450
34.16	246	2460
34.18	246	2460
34.2	247	2470
34.22	247	2470
34.24	247	2470
34.26	248	2480
34.28	248	2480
34.3	249	2490
34.32	249	2490
34.34	249	2490
34.36	250	2500
34.38	250	2500
34.4	251	2510
34.42	251	2510
34.44	251	2510
34.46	252	2520
34.48	252	2520
34.5	253	2530
34.52	253	2530
34.54	253	2530
34.56	254	2540
34.58	254	2540
34.6	254	2540
34.62	255	2550
34.64	255	2550
34.66	256	2560
34.68	256	2560
34.7	257	2570
34.72	257	2570
34.74	258	2580
34.76	258	2580
34.78	258	2580
34.8	259	2590
34.82	259	2590
34.84	260	2600
34.86	260	2600
34.88	261	2610
34.9	261	2610
34.92	261	2610
34.94	262	2620
34.96	262	2620
34.98	263	2630
35	263	2630
35.02	263	2630
35.04	264	2640
35.06	264	2640
35.08	265	2650
35.1	265	2650
35.12	265	2650
35.14	266	2660
35.16	266	2660
35.18	267	2670
35.2	267	2670
35.22	267	2670
35.24	268	2680
35.26	268	2680
35.28	268	2680
35.3	268	2680
35.32	269	2690
35.34	269	2690
35.36	269	2690
35.38	270	2700
35.4	270	2700
35.42	270	2700
35.44	270	2700
35.46	271	2710
35.48	271	2710
35.5	271	2710
35.52	272	2720
35.54	272	2720
35.56	272	2720
35.58	272	2720
35.6	273	2730
35.62	273	2730
35.64	273	2730
35.66	273	2730
35.68	274	2740
35.7	274	2740
35.72	274	2740
35.74	274	2740
35.76	275	2750
35.78	275	2750
35.8	275	2750
35.82	276	2760
35.84	276	2760
35.86	277	2770
35.88	277	2770
35.9	277	2770
35.92	278	2780
35.94	278	2780
35.96	278	2780
35.98	278	2780
36	279	2790
36.02	279	2790
36.04	279	2790
36.06	280	2800
36.08	280	2800
36.1	280	2800
36.12	280	2800
36.14	281	2810
36.16	281	2810
36.18	281	2810
36.2	282	2820
36.22	282	2820
36.24	282	2820
36.26	282	2820
36.28	283	2830
36.3	283	2830
36.32	283	2830
36.34	283	2830
36.36	283	2830
36.38	283	2830
36.4	284	2840
36.42	284	2840
36.44	284	2840
36.46	284	2840
36.48	284	2840
36.5	284	2840
36.52	285	2850
36.54	285	2850
36.56	285	2850
36.58	285	2850
36.6	285	2850
36.62	285	2850
36.64	286	2860
36.66	286	2860
36.68	286	2860
36.7	286	2860
36.72	286	2860
36.74	286	2860
36.76	286	2860
36.78	287	2870
36.8	287	2870
36.82	287	2870
36.84	287	2870
36.86	287	2870
36.88	287	2870
36.9	287	2870
36.92	288	2880
36.94	288	2880
36.96	288	2880
36.98	288	2880
37	288	2880
37.02	289	2890
37.04	289	2890
37.06	289	2890
37.08	289	2890
37.1	289	2890
37.12	290	2900
37.14	290	2900
37.16	290	2900
37.18	290	2900
37.2	291	2910
37.22	291	2910
37.24	291	2910
37.26	292	2920
37.28	292	2920
37.3	292	2920
37.32	293	2930
37.34	293	2930
37.36	293	2930
