MIN=0	-100	-10	0	
MAX=80	100	10	5	
SCALE=10	50	5	1	
DEC=1	1	2	3	
DEF="Zeit" t / s	"Spannung" U_A1 / mV	"Spannung" U_B1 / V	"Frequenz" f / Hz	
0	-82,25	-0,13	NAN	
0,101	-82,25	-0,125	NAN	
0,2	-82,25	-0,125	NAN	
0,3	-82,2	-0,125	NAN	
0,4	-82,2	-0,125	NAN	
0,5	-82,25	-0,13	NAN	
0,6	-82,25	-0,125	NAN	
0,7	-82,2	-0,13	NAN	
0,8	-82,25	-0,125	NAN	
0,9	-82,25	-0,125	NAN	
1	-82,2	-0,13	NAN	
1,1	-82,25	-0,125	NAN	
1,2	-82,25	-0,13	NAN	
1,3	-82,25	-0,13	NAN	
1,4	-82,25	-0,125	NAN	
1,5	-82,25	-0,125	NAN	
1,6	-82,2	-0,125	NAN	
1,7	-82,2	-0,13	NAN	
1,8	-82,2	-0,13	NAN	
1,9	-82,25	-0,13	NAN	
2	-82,2	-0,125	NAN	
2,1	-82,25	-0,13	NAN	
2,2	-82,2	-0,125	NAN	
2,3	-82,2	-0,125	NAN	
2,4	-82,2	-0,125	NAN	
2,5	-82,15	-0,125	NAN	
2,6	-82,2	-0,13	NAN	
2,7	-82,2	-0,125	NAN	
2,8	-82,2	-0,13	NAN	
2,9	-82,2	-0,125	NAN	
3	-82,2	-0,125	NAN	
3,1	-82,25	-0,125	NAN	
3,2	-82,2	-0,13	NAN	
3,3	-82,2	-0,13	NAN	
3,4	-82,15	-0,125	NAN	
3,5	-82,2	-0,13	NAN	
3,6	-82,2	-0,13	NAN	
3,7	-82,2	-0,13	NAN	
3,8	-82,25	-0,125	NAN	
3,9	-82,2	-0,125	NAN	
4	-82,2	-0,13	NAN	
4,1	-82,2	-0,13	NAN	
4,2	-82,2	-0,12	NAN	
4,3	-82,2	-0,13	NAN	
4,4	-82,2	-0,13	NAN	
4,5	-82,2	-0,125	NAN	
4,6	-82,15	-0,125	NAN	
4,7	-82,2	-0,125	NAN	
4,8	-82,15	-0,12	NAN	
4,9	-82,2	-0,11	NAN	
5	-82,2	0,21	NAN	
5,1	-82,25	0,94	NAN	
5,2	-82,45	1,565	NAN	
5,3	-82,6	1,885	NAN	
5,4	-82,85	2,22	NAN	
5,5	-83,05	2,32	NAN	
5,6	-83,3	2,325	NAN	
5,7	-83,4	2,32	NAN	
5,8	-83,65	2,32	NAN	
5,9	-83,8	2,325	NAN	
6	-83,95	2,325	NAN	
6,1	-84,15	2,005	NAN	
6,2	-84,2	1,49	NAN	
6,3	-84,25	0,86	NAN	
6,4	-84,2	0,185	NAN	
6,5	-84,15	-0,11	NAN	
6,6	-84,1	-0,105	NAN	
6,7	-84,05	-0,105	NAN	
6,8	-84	-0,105	NAN	
6,9	-83,95	-0,115	NAN	
7	-83,9	-0,115	NAN	
7,1	-83,85	-0,12	NAN	
7,2	-83,8	-0,115	NAN	
7,3	-83,75	-0,115	NAN	
7,4	-83,8	-0,12	NAN	
7,5	-83,75	-0,12	NAN	
7,6	-83,75	-0,115	NAN	
7,7	-83,7	-0,12	NAN	
7,8	-83,65	-0,115	NAN	
7,9	-83,65	-0,115	NAN	
8	-83,65	-0,12	NAN	
8,1	-83,65	-0,12	NAN	
8,2	-83,6	-0,12	NAN	
8,3	-83,6	-0,115	NAN	
8,4	-83,55	-0,115	NAN	
8,5	-83,55	-0,12	NAN	
8,6	-83,55	-0,125	NAN	
8,7	-83,5	-0,115	NAN	
8,8	-83,5	-0,12	NAN	
8,9	-83,5	-0,115	NAN	
9	-83,5	-0,12	NAN	
9,1	-83,5	-0,115	NAN	
9,2	-83,45	-0,115	NAN	
9,3	-83,45	-0,12	NAN	
9,4	-83,45	-0,12	NAN	
9,5	-83,45	-0,125	NAN	
9,6	-83,45	-0,12	NAN	
9,7	-83,4	-0,12	NAN	
9,8	-83,45	-0,12	NAN	
9,9	-83,45	-0,12	NAN	
10	-83,4	-0,12	NAN	
10,1	-83,4	-0,125	NAN	
10,2	-83,35	-0,12	NAN	
10,3	-83,35	-0,125	NAN	
10,4	-83,35	-0,12	NAN	
10,5	-83,35	-0,12	NAN	
10,6	-83,35	-0,12	NAN	
10,7	-83,3	-0,125	NAN	
10,8	-83,3	-0,12	NAN	
10,9	-83,3	-0,115	NAN	
11	-83,3	-0,12	NAN	
11,1	-83,3	-0,115	NAN	
11,2	-83,3	-0,115	NAN	
11,3	-83,3	-0,12	NAN	
11,4	-83,25	-0,125	NAN	
11,5	-83,25	-0,12	NAN	
11,6	-83,25	-0,12	NAN	
11,7	-83,25	-0,125	NAN	
11,8	-83,25	-0,12	NAN	
11,9	-83,25	-0,12	NAN	
12	-83,2	-0,115	NAN	
12,1	-83,2	-0,12	NAN	
12,2	-83,2	-0,125	NAN	
12,3	-83,25	-0,12	NAN	
12,4	-83,2	-0,12	NAN	
12,5	-83,15	-0,12	NAN	
12,6	-83,15	-0,125	NAN	
12,7	-83,15	-0,125	NAN	
12,8	-83,15	-0,12	NAN	
12,9	-83,15	-0,125	NAN	
13	-83,1	-0,12	NAN	
13,1	-83,15	-0,12	NAN	
13,2	-83,15	-0,12	NAN	
13,3	-83,1	-0,125	NAN	
13,4	-83,1	-0,125	NAN	
13,5	-83,15	-0,12	NAN	
13,6	-83,15	-0,12	NAN	
13,7	-83,05	-0,125	NAN	
13,8	-83,05	-0,125	NAN	
13,9	-83,1	-0,125	NAN	
14	-83,1	-0,12	NAN	
14,1	-83,1	-0,125	NAN	
14,2	-83,05	-0,12	NAN	
14,3	-83,05	-0,125	NAN	
