#FTM-ProVis Lite Text File
#Document: Raw Data 
#Date and Time: 18.01.2010  16:33:26-979:629 
#Measurement: I=10.0  A=1  DCC=0  N=CTS 
#X-Data: Wavelength [nm]
#Y-Data: Counts
#Data:
185.22	67.0
186.06	67.0
186.89	65.0
187.73	67.0
188.56	66.0
189.40	67.0
190.24	64.0
191.07	65.0
191.91	62.0
192.74	68.0
193.58	61.0
194.41	66.0
195.25	66.0
196.08	67.0
196.92	62.0
197.75	69.0
198.59	62.0
199.43	67.0
200.26	67.0
201.10	66.0
201.93	66.0
202.77	68.0
203.60	67.0
204.44	66.0
205.27	64.0
206.11	69.0
206.95	65.0
207.78	67.0
208.62	66.0
209.45	67.0
210.29	64.0
211.12	69.0
211.96	67.0
212.79	67.0
213.63	66.0
214.47	69.0
215.30	63.0
216.14	66.0
216.97	64.0
217.81	69.0
218.64	66.0
219.48	67.0
220.32	67.0
221.15	71.0
221.99	66.0
222.82	69.0
223.66	64.0
224.49	69.0
225.33	63.0
226.17	67.0
227.00	67.0
227.84	68.0
228.67	66.0
229.51	67.0
230.34	64.0
231.18	68.0
232.02	67.0
232.85	64.0
233.69	64.0
234.52	67.0
235.36	66.0
236.19	67.0
237.03	67.0
237.87	67.0
238.70	66.0
239.54	66.0
240.37	67.0
241.21	68.0
242.04	63.0
242.88	65.0
243.72	67.0
244.55	68.0
245.39	64.0
246.22	66.0
247.06	68.0
247.89	69.0
248.73	66.0
249.57	69.0
250.40	64.0
251.24	65.0
252.07	65.0
252.91	68.0
253.74	64.0
254.58	69.0
255.42	67.0
256.25	67.0
257.09	64.0
257.92	66.0
258.76	66.0
259.60	66.0
260.43	67.0
261.27	67.0
262.10	65.0
262.94	68.0
263.77	63.0
264.61	66.0
265.45	66.0
266.28	66.0
267.12	67.0
267.95	65.0
268.79	66.0
269.62	68.0
270.46	64.0
271.30	66.0
272.13	64.0
272.97	65.0
273.80	65.0
274.64	65.0
275.47	63.0
276.31	70.0
277.15	66.0
277.98	68.0
278.82	66.0
279.65	67.0
280.49	66.0
281.32	67.0
282.16	67.0
282.99	67.0
283.83	65.0
284.67	66.0
285.50	66.0
286.34	69.0
287.17	66.0
288.01	67.0
288.84	67.0
289.68	67.0
290.52	60.0
291.35	66.0
292.19	63.0
293.02	64.0
293.86	64.0
294.69	67.0
295.53	65.0
296.36	63.0
297.20	64.0
298.04	69.0
298.87	65.0
299.71	66.0
300.54	67.0
301.38	69.0
302.21	65.0
303.05	69.0
303.88	61.0
304.72	66.0
305.55	67.0
306.39	66.0
307.23	65.0
308.06	69.0
308.90	63.0
309.73	66.0
310.57	63.0
311.40	66.0
312.24	65.0
313.07	67.0
313.91	64.0
314.74	67.0
315.58	63.0
316.41	67.0
317.25	62.0
318.08	67.0
318.92	62.0
319.76	65.0
320.59	61.0
321.43	66.0
322.26	64.0
323.10	64.0
323.93	66.0
324.77	68.0
325.60	65.0
326.44	68.0
327.27	62.0
328.11	68.0
328.94	60.0
329.78	65.0
330.61	67.0
